Date,Tweet
Mon Dec 31 13:03:05 +0000 2018,"If anybody but Donald Trump did what I did in Syria\, which was an ISIS loaded mess when I became President\, they would be a national hero. ISIS is mostly gone\, we’re slowly sending our troops back home to be with their families\, while at the same time fighting ISIS remnants......"
Mon Dec 31 12:51:22 +0000 2018,"An all concrete Wall was NEVER ABANDONED\, as has been reported by the media. Some areas will be all concrete but the experts at Border Patrol prefer a Wall that is see through (thereby making it possible to see what is happening on both sides). Makes sense to me!"
Sun Dec 30 21:59:44 +0000 2018,"President and Mrs. Obama built/has a ten foot Wall around their D.C. mansion/compound. I agree\, totally necessary for their safety and security. The U.S. needs the same thing\, slightly larger version!"
Sun Dec 30 16:56:09 +0000 2018,Great work by my Administration over the holidays to save Coast Guard pay during this #SchumerShutdown. No thanks to the Democrats who left town and are not concerned about the safety and security of Americans!
Sun Dec 30 15:28:35 +0000 2018,Veterans on President Trump’s handling of Border Security - 62% Approval Rating. On being a strong leader - 59%.  AP Poll. Thank you!
Sun Dec 30 03:15:36 +0000 2018,"“It turns out to be true now\, that the Department of Justice and the FBI\, under President Obama\, rigged the investigation for Hillary and really turned the screws on Trump\, and now it looks like in a corrupt &amp; illegal way. The facts are out now. Whole Hoax exposed. @JesseBWatters"
Sun Dec 30 03:01:28 +0000 2018,"“Absolutely nothing” (on Russian Collusion). Kimberley Strassel\, The Wall Street Journal. The Russian Collusion fabrication is the greatest Hoax in the history of American politics. The only Russian Collusion was with Hillary and the Democrats!"
Sat Dec 29 21:06:08 +0000 2018,"2018 is being called “THE YEAR OF THE WORKER” by Steve Moore\, co-author of “Trumponomics.” It was indeed a great year for the American Worker with the “best job market in 50 years\, and the lowest unemployment rate ever for blacks and Hispanics and all workers. Big wage gains.”"
Sat Dec 29 19:25:47 +0000 2018,"For those that naively ask why didn’t the Republicans get approval to build the Wall over the last year\, it is because IN THE SENATE WE NEED 10 DEMOCRAT VOTES\, and they will gives us “NONE” for Border Security! Now we have to do it the hard way\, with a Shutdown. Too bad! @FoxNews"
Sat Dec 29 18:36:17 +0000 2018,"...children in question were very sick before they were given over to Border Patrol. The father of the young girl said it was not their fault\, he hadn’t given her water in days. Border Patrol needs the Wall and it will all end. They are working so hard &amp; getting so little credit!"
Sat Dec 29 18:30:16 +0000 2018,"Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally. They can’t. If we had a Wall\, they wouldn’t even try! The two....."
Sat Dec 29 16:03:02 +0000 2018,"Just had a long and very good call with President Xi of China. Deal is moving along very well. If made\, it will be very comprehensive\, covering all subjects\, areas and points of dispute. Big progress being made!"
Sat Dec 29 15:52:24 +0000 2018,"I am in the White House waiting for the Democrats to come on over and make a deal on Border Security. From what I hear\, they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military!"
Sat Dec 29 15:42:50 +0000 2018,"The Mueller Angry Democrats recently deleted approximately 19\,000 Text messages between FBI Agent Lisa Page and her lover\, Agent Peter S. These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax. This is a total Obstruction of Justice. All Texts Demanded!"
Fri Dec 28 14:51:07 +0000 2018,Thank you to Sean Parnell for the nice comments on @foxandfriends about the troops wonderful reaction to Melania and I in Iraq and Germany. Great things are happening!
Fri Dec 28 13:06:13 +0000 2018,".....Honduras\, Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that a new Caravan is forming in Honduras and they are doing nothing about it. We will be cutting off all aid to these 3 countries - taking advantage of U.S. for years!"
Fri Dec 28 12:49:26 +0000 2018,".....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre-NAFTA\, before so many of our companies and jobs were so foolishly sent to Mexico. Either we build (finish) the Wall or we close the Border......"
Fri Dec 28 12:42:12 +0000 2018,"....The United States looses soooo much money on Trade with Mexico under NAFTA\, over 75 Billion Dollars a year (not including Drug Money which would be many times that amount)\, that I would consider closing the Southern Border a “profit making operation.” We build a Wall or....."
Fri Dec 28 12:16:40 +0000 2018,We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the Wall &amp; also change the ridiculous immigration laws that our Country is saddled with. Hard to believe there was a Congress &amp; President who would approve!
Thu Dec 27 23:23:36 +0000 2018,"CNN &amp; others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and Germany. If these brave young people ask me to sign their hat\, I will sign. Can you imagine my saying NO? We brought or gave NO hats as the Fake News first reported!"
Thu Dec 27 22:10:07 +0000 2018,"This isn’t about the Wall\, everybody knows that a Wall will work perfectly (In Israel the Wall works 99.9%). This is only about the Dems not letting Donald Trump &amp; the Republicans have a win. They may have the 10 Senate votes\, but we have the issue\, Border Security. 2020!"
Thu Dec 27 21:26:10 +0000 2018,"Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The President says look\, this is your neighborhood\, you’ve got to stand up to protect yourselves. Don’t always look to America.”"
Thu Dec 27 21:13:15 +0000 2018,"Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The Pesident says look\, this is your neighborhood\, you’ve got to stand up to protect yourselves. Don’t always look to America.”"
Thu Dec 27 21:04:24 +0000 2018,I totally agree! https://t.co/KO8E3bfWfn
Thu Dec 27 21:04:06 +0000 2018,There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop. Time to get tough on Border Security. Build the Wall!
Thu Dec 27 20:39:59 +0000 2018,"“Border Patrol Agents want the Wall.” Democrat’s say they don’t want the Wall (even though they know it is really needed)\, and they don’t want ICE. They don’t have much to campaign on\, do they? An Open Southern Border and the large scale crime that comes with such stupidity!"
Thu Dec 27 19:44:49 +0000 2018,"The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain\, thereby setting up a Supreme Court case. After ruling\, Dems dropped deal - and that’s where we are today\, Democrat obstruction of the needed Wall."
Thu Dec 27 19:41:45 +0000 2018,"The Democrats OBSTRUCTION of the desperately needed Wall\, where they almost all recently agreed it should be built\, is exceeded only by their OBSTRUCTION of 350 great people wanting &amp; expecting to come into Government after being delayed for more than two years\, a U.S. record!"
Thu Dec 27 19:35:46 +0000 2018,"The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain\, thereby setting up a Supteme Court case. After ruling\, Dems dropped deal - and that’s where we are today\, Democrat obstruction of the needed Wall."
Thu Dec 27 12:06:25 +0000 2018,"Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Need to stop Drugs\, Human Trafficking\,Gang Members &amp; Criminals from coming into our Country. Do the Dems realize that most of the people not getting paid are Democrats?"
Thu Dec 27 11:59:04 +0000 2018,"Just returned from visiting our troops in Iraq and Germany. One thing is certain\, we have incredible people representing our Country - people that know how to win!"
Wed Dec 26 20:35:25 +0000 2018,.@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A.! https://t.co/rDlhITDvm1
Tue Dec 25 23:18:44 +0000 2018,"I hope everyone\, even the Fake News Media\, is having a great Christmas! Our Country is doing very well. We are securing our Borders\, making great new Trade Deals\, and bringing our Troops Back Home. We are finally putting America First. MERRY CHRISTMAS!  #MAGA"
Tue Dec 25 12:59:08 +0000 2018,Merry Christmas!
Tue Dec 25 02:28:40 +0000 2018,RT @FLOTUS: Helping children across the country track #Santa is becoming one of my favorite traditions!  @Potus and I enjoyed working with…
Mon Dec 24 22:24:13 +0000 2018,"I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We are already building and renovating many miles of Wall\, some complete. Democrats must end Shutdown and finish funding. Billions of Dollars\, &amp; lives\, will be saved!"
Mon Dec 24 21:14:12 +0000 2018,Christmas Eve briefing with my team working on North Korea – Progress being made. Looking forward to my next summit with Chairman Kim! https://t.co/zPTtDbrP0o
Mon Dec 24 17:32:44 +0000 2018,I am all alone (poor me) in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security. At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about. Crazy!
Mon Dec 24 17:23:22 +0000 2018,"Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria\, instead of the United States. See? Isn’t it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country\, the U.S.\, that is 5000 miles away. Thanks to Saudi A!"
Mon Dec 24 17:10:22 +0000 2018,"The Wall is different than the 25 Billion Dollars in Border Security. The complete Wall will be built with the Shutdown money plus funds already in hand. The reporting has been inaccurate on the point. The problem is\, without the Wall\, much of the rest of Dollars are wasted!"
Mon Dec 24 16:55:32 +0000 2018,"I never “lashed out” at the Acting Attorney General of the U.S.\, a man for whom I have great respect. This is a made up story\, one of many\, by the Fake News Media!"
Mon Dec 24 15:55:22 +0000 2018,"The only problem our economy has is the Fed. They don’t have a feel for the Market\, they don’t understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can’t score because he has no touch - he can’t putt!"
Mon Dec 24 15:33:41 +0000 2018,AMERICA IS RESPECTED AGAIN!
Mon Dec 24 15:23:22 +0000 2018,"For all of the sympathizers out there of Brett McGurk remember\, he was the Obama appointee who was responsible for loading up airplanes with 1.8 Billion Dollars in CASH &amp;  sending it to Iran as part of the horrific Iran Nuclear Deal (now terminated) approved by Little Bob Corker."
Mon Dec 24 14:59:23 +0000 2018,"....We are substantially subsidizing the Militaries of many VERY rich countries all over the world\, while at the same time these countries take total advantage of the U.S.\, and our TAXPAYERS\, on Trade. General Mattis did not see this as a problem. I DO\, and it is being fixed!"
Mon Dec 24 14:41:02 +0000 2018,"To those few Senators who think I don’t like or appreciate being allied with other countries\, they are wrong\, I DO. What I don’t like\, however\, is when many of these same countries take advantage of their friendship with the United States\, both in Military Protection and Trade..."
Mon Dec 24 14:31:50 +0000 2018,"Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence. It was only when I made it an important part of my campaign\, because people and drugs were pouring into our Country unchecked\, that they turned against it. Desperately needed!"
Mon Dec 24 04:54:00 +0000 2018,"President @RT_Erdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syria....and he is a man who can do it plus\, Turkey is right “next door.” Our troops are coming home!"
Mon Dec 24 04:26:22 +0000 2018,"“The President has been remarkable. I do not doubt that he will thrive in this new environment\, and he will be a constant reminder of what populism is.” Thank you to Tammy Bruce and Steve Hilton. Presidential Harassment has been with me from the beginning!"
Mon Dec 24 04:05:26 +0000 2018,"The most important way to stop gangs\, drugs\, human trafficking and massive crime is at our Southern Border. We need Border Security\, and as EVERYONE knows\, you can’t have Border Security without a Wall. The Drones &amp; Technology are just bells and whistles. Safety for America!"
Mon Dec 24 03:47:21 +0000 2018,"Mitch McConnell just told a group of people\, and me\, that he has been in the U.S. Senate for 32 years and the last two have been by far the best &amp; most productive of his career. Tax &amp; Regulation Cuts\, VA Choice\, Farm Bill\, Criminal Justice Reform\, Judgeships &amp; much more. Great!"
Mon Dec 24 03:32:49 +0000 2018,"“It should not be the job of America to replace regimes around the world. This is what President Trump recognized in Iraq\, that it was the biggest foreign policy disaster of the last several decades\, and he’s right...The generals still don’t get the mistake.”  @RandPaul"
Mon Dec 24 00:42:22 +0000 2018,RT @RSScott_BP252: USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough -JUST LIKE EVERY OTH…
Sun Dec 23 21:18:49 +0000 2018,"Thanks @RandPaul  “I am very proud of the President. This is exactly what he promised\, and I think the people agree with him. We’ve been at war too long and in too many places...spent several trillion dollars on these wars everywhere. He’s different...that’s why he got elected.”"
Sun Dec 23 20:20:22 +0000 2018,".....Bob Corker was responsible for giving us the horrible Iran Nuclear Deal\, which I ended\, yet he badmouths me for wanting to bring our young people safely back home. Bob wanted to run and asked for my endorsement. I said NO and the game was over. #MAGA I LOVE TENNESSEE!"
Sun Dec 23 19:56:37 +0000 2018,"Senator Bob Corker just stated that\, “I’m so priveledged to serve in the Senate for twelve years\, and that’s what I told the people of our state that’s what I’d do\, serve for two terms.” But that is Not True - wanted to run but poll numbers TANKED when I wouldn’t endorse him....."
Sun Dec 23 19:45:22 +0000 2018,"We signed two pieces of major legislation this week\, Criminal Justice Reform and the Farm Bill. These are two Big Deals\, but all the Fake News Media wants to talk about is “the mistake” of bringing our young people back home from the Never Ending Wars. It all began 19 years ago!"
Sun Dec 23 17:13:27 +0000 2018,Unthinkable devastation from the tsunami disaster in Indonesia. More than two hundred dead and nearly a thousand injured or unaccounted for. We are praying for recovery and healing. America is with you!
Sun Dec 23 16:59:22 +0000 2018,"I just had a long and productive call with President @RT_Erdogan of Turkey. We discussed ISIS\, our mutual involvement in Syria\, &amp; the slow &amp; highly coordinated pullout of U.S. troops from the area. After many years they are coming home. We also discussed heavily expanded Trade."
Sun Dec 23 16:46:47 +0000 2018,"I am pleased to announce that our very talented Deputy Secretary of Defense\, Patrick Shanahan\, will assume the title of Acting Secretary of Defense starting January 1\, 2019. Patrick has a long list of accomplishments while serving as Deputy\, &amp; previously Boeing. He will be great!"
Sun Dec 23 14:17:54 +0000 2018,"The only way to stop drugs\, gangs\, human trafficking\, criminal elements and much else from coming into our Country is with a Wall or Barrier. Drones and all of the rest are wonderful and lots of fun\, but it is only a good old fashioned Wall that works!"
Sun Dec 23 02:20:32 +0000 2018,"When President Obama ingloriously fired Jim Mattis\, I gave him a second chance. Some thought I shouldn’t\, I thought I should. Interesting relationship-but I also gave all of the resources that he never really had. Allies are very important-but not when they take advantage of U.S."
Sun Dec 23 01:59:29 +0000 2018,"If anybody but your favorite President\, Donald J. Trump\, announced that\, after decimating ISIS in Syria\, we were going to bring our troops back home (happy &amp; healthy)\, that person would be the most popular hero in America. With me\, hit hard instead by the Fake News Media. Crazy!"
Sun Dec 23 01:48:23 +0000 2018,"Brett McGurk\, who I do not know\, was appointed by President Obama in 2015. Was supposed to leave in February but he just resigned prior to leaving. Grandstander? The Fake News is making such a big deal about this nothing event!"
Sat Dec 22 23:58:43 +0000 2018,I will not be going to Florida because of the Shutdown - Staying in the White House!  #MAGA
Sat Dec 22 21:12:02 +0000 2018,Senate adjourns until December 27th.
Sat Dec 22 20:28:21 +0000 2018,"I won an election\, said to be one of the greatest of all time\, based on getting out of endless &amp; costly foreign wars &amp; also based on Strong Borders which will keep our Country safe. We fight for the borders of other countries\, but we won’t fight for the borders of our own!"
Sat Dec 22 20:03:58 +0000 2018,The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrier or Wall. Let work begin!
Sat Dec 22 17:02:37 +0000 2018,Will be having lunch in White House residence with large group concerning Border Security.
Sat Dec 22 16:30:35 +0000 2018,"....going to be there for three months\, and that was seven years ago - we never left. When I became President\, ISIS was going wild. Now ISIS is largely defeated and other local countries\, including Turkey\, should be able to easily take care of whatever remains. We’re coming home!"
Sat Dec 22 16:18:11 +0000 2018,"I am in the White House\, working hard. News reports concerning the Shutdown and Syria are mostly FAKE. We are negotiating with the Democrats on desperately needed Border Security (Gangs\, Drugs\, Human Trafficking &amp; more) but it could be a long stay. On Syria\, we were originally..."
Sat Dec 22 05:09:15 +0000 2018,RT @realDonaldTrump: OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a
Sat Dec 22 02:49:05 +0000 2018,OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a
Sat Dec 22 00:16:55 +0000 2018,Wishing Supreme Court Justice Ruth Bader Ginsburg a full and speedy recovery!
Fri Dec 21 23:23:27 +0000 2018,Some of the many Bills that I am signing in the Oval Office right now. Cancelled my trip on Air Force One to Florida while we wait to see if the Democrats will help us to protect America’s Southern Border! https://t.co/ws6LYhKcKl
Fri Dec 21 22:14:14 +0000 2018,A design of our Steel Slat Barrier which is totally effective while at the same time beautiful! https://t.co/sGltXh0cu9
Fri Dec 21 19:56:05 +0000 2018,"Today\, it was my honor to sign into law H.R. 7213\, the “Countering Weapons of Mass Destruction Act of 2018.” The Act redesignates the @DHSgov Domestic Nuclear Detection Office as the Countering Weapons of Mass Destruction Office. Read more: https://t.co/XCkyc8pGZF https://t.co/TTvGxBww5n"
Fri Dec 21 19:28:13 +0000 2018,"Today\, it was my great honor to sign the #FirstStepAct - a monumental bi-partisan win for the American people! https://t.co/isy6Bt38iK"
Fri Dec 21 15:31:41 +0000 2018,I’ve done more damage to ISIS than all recent presidents....not even close!
Fri Dec 21 15:07:23 +0000 2018,The Democrats now own the shutdown!
Fri Dec 21 14:50:29 +0000 2018,"General Anthony Tata\, author\, “Dark Winter.” I think the President is making the exact right move in Syria. All the geniuses who are protesting the withdrawal of troops from Syria are the same geniuses who cooked the books on ISIS intelligence and gave rise to ISIS.”"
Fri Dec 21 14:41:59 +0000 2018,"There has never been a president who has been tougher (but fair) on China or Russia - Never\, just look at the facts. The Fake News tries so hard to paint the opposite picture."
Fri Dec 21 13:08:06 +0000 2018,Thank you @SteveDaines for being willing to go with the so-called nuclear option in order to win on DESPERATELY NEEDED Border Security! Have my total support.
Fri Dec 21 13:02:35 +0000 2018,"Mitch\, use the Nuclear Option and get it done! Our Country is counting on you!"
Fri Dec 21 12:38:15 +0000 2018,"Even President Ronald Reagan tried for 8 years to build a Border Wall\, or Fence\, and was unable to do so. Others also have tried. We will get it done\, one way or the other!"
Fri Dec 21 12:31:35 +0000 2018,Shutdown today if Democrats do not vote for Border Security!
Fri Dec 21 12:27:47 +0000 2018,"House Republican Vote\, 217-185."
Fri Dec 21 12:24:18 +0000 2018,"The Democrats\, whose votes we need in the Senate\, will probably vote against Border Security and the Wall even though they know it is DESPERATELY NEEDED. If the Dems vote no\, there will be a shutdown that will last for a very long time. People don’t want Open Borders and Crime!"
Fri Dec 21 12:19:46 +0000 2018,"No matter what happens today in the Senate\, Republican House Members should be very proud of themselves. They flew back to Washington from all parts of the World in order to vote for Border Security and the Wall. Not one Democrat voted yes\, and we won big. I am very proud of you!"
Fri Dec 21 12:10:36 +0000 2018,".....on a Border is only effective in conjunction with a Wall. Properly designed and built Walls work\, and the Democrats are lying when they say they don’t. In Israel the Wall is 99.9% successful. Will not be any different on our Southern Border! Hundreds of $Billions saved!"
Fri Dec 21 11:58:29 +0000 2018,"The Democrats are trying to belittle the concept of a Wall\, calling it old fashioned. The fact is there is nothing else’s that will work\, and that has been true for thousands of years. It’s like the wheel\, there is nothing better. I know tech better than anyone\, &amp; technology....."
Fri Dec 21 11:50:53 +0000 2018,"Senator Mitch McConnell should fight for the Wall and Border Security as hard as he fought for anything. He will need Democrat votes\, but as shown in the House\, good things happen. If enough Dems don’t vote\, it will be a Democrat Shutdown! House Republicans were great yesterday!"
Fri Dec 21 03:20:29 +0000 2018,"Soon to be Speaker Nancy Pelosi said\, last week live from the Oval Office\, that the Republicans didn’t have the votes for Border Security. Today the House Republicans voted and won\, 217-185. Nancy does not have to apologize. All I want is GREAT BORDER SECURITY!"
Fri Dec 21 03:13:54 +0000 2018,Thank you to our GREAT Republican Members of Congress for your VOTE to fund Border Security and the Wall. The final numbers were 217-185 and many have said that the enthusiasm was greater than they have ever seen before. So proud of you all. Now on to the Senate!
Thu Dec 20 22:21:07 +0000 2018,....equipment. General Mattis was a great help to me in getting allies and other countries to pay their share of military obligations. A new Secretary of Defense will be named shortly. I greatly thank Jim for his service!
Thu Dec 20 22:21:07 +0000 2018,"General Jim Mattis will be retiring\, with distinction\, at the end of February\, after having served my Administration as Secretary of Defense for the past two years. During Jim’s tenure\, tremendous progress has been made\, especially with respect to the purchase of new fighting...."
Thu Dec 20 21:48:15 +0000 2018,"Democrats\, it is time to come together and put the SAFETY of the AMERICAN PEOPLE before POLITICS. Border security must become a #1 priority! https://t.co/Wck6UpQGil"
Thu Dec 20 20:14:35 +0000 2018,Farm Bill signing in 15 minutes! #Emmys #TBT https://t.co/KtSS17xvIn
Thu Dec 20 19:22:19 +0000 2018,"So hard to believe that Lindsey Graham would be against saving soldier lives &amp; billions of $$$. Why are we fighting for our enemy\, Syria\, by staying &amp; killing ISIS for them\, Russia\, Iran &amp; other locals? Time to focus on our Country &amp; bring our youth back home where they belong!"
Thu Dec 20 19:16:07 +0000 2018,Congress just passed the Criminal Justice Reform Bill known as the #FirstStepAct. Congratulations! This is a great bi-partisan achievement for everybody. When both parties work together we can keep our Country safer. A wonderful thing for the U.S.A.!!
Thu Dec 20 15:28:54 +0000 2018,"When I begrudgingly signed the Omnibus Bill\, I was promised the Wall and Border Security by leadership. Would be done by end of year (NOW). It didn’t happen! We foolishly fight for Border Security for other countries - but not for our beloved U.S.A. Not good!"
Thu Dec 20 12:41:08 +0000 2018,"RT @realDonaldTrump: After historic victories against ISIS\, it’s time to bring our great young people home! https://t.co/xoNjFzQFTp"
Thu Dec 20 12:39:19 +0000 2018,"With so much talk about the Wall\, people are losing sight of the great job being done on our Southern Border by Border Patrol\, ICE and our great Military. Remember the Caravans? Well\, they didn’t get through and none are forming or on their way. Border is tight. Fake News silent!"
Thu Dec 20 12:28:34 +0000 2018,"The Democrats\, who know Steel Slats (Wall) are necessary for Border Security\, are putting politics over Country. What they are just beginning to realize is that I will not sign any of their legislation\, including infrastructure\, unless it has perfect Border Security. U.S.A. WINS!"
Thu Dec 20 12:16:38 +0000 2018,"....Russia\, Iran\, Syria &amp; many others are not happy about the U.S. leaving\, despite what the Fake News says\, because now they will have to fight ISIS and others\, who they hate\, without us. I am building by far the most powerful military in the world. ISIS hits us they are doomed!"
Thu Dec 20 11:56:54 +0000 2018,"Does the USA want to be the Policeman of the Middle East\, getting NOTHING but spending precious lives and trillions of dollars protecting others who\, in almost all cases\, do not appreciate what we are doing? Do we want to be there forever? Time for others to finally fight....."
Thu Dec 20 11:42:57 +0000 2018,"Getting out of Syria was no surprise. I’ve been campaigning on it for years\, and six months ago\, when I very publicly wanted to do it\, I agreed to stay longer. Russia\, Iran\, Syria &amp; others are the local enemy of ISIS. We were doing there work. Time to come home &amp; rebuild. #MAGA"
Thu Dec 20 11:25:51 +0000 2018,"“I’m proud of the President today to hear that he is declaring victory in Syria.” Senator Rand Paul.  “I couldn’t agree more with the presidents decision. By definition\, this is the opposite of an Obama decision. Senator Mike Lee"
Thu Dec 20 05:17:12 +0000 2018,"“Trump gets no credit for what he’s done in the Middle East.”  @IngrahamAngle  So true\, thank you Laura!"
Thu Dec 20 05:04:05 +0000 2018,"Col. Jim Carafano on @IngrahamAngle “Trump has made the Middle East a better place. When Trump came into office\, ISIS was running amuck in the Middle East. Over a million refugees poured into Western Europe - none of that is happening today. That’s all due to Trump.”"
Thu Dec 20 03:30:00 +0000 2018,"RT @GovMikeHuckabee: It took a British court to reveal it\, but more shocking evidence of the REAL \Russian collusion\"" and it wasn't about @…"""
Wed Dec 19 23:10:35 +0000 2018,"After historic victories against ISIS\, it’s time to bring our great young people home! https://t.co/xoNjFzQFTp"
Wed Dec 19 15:05:29 +0000 2018,"....In any event\, it goes on and on &amp; the new AG\, who is now being replaced by yet another AG (who openly campaigned on a GET TRUMP agenda)\, does little else but rant\, rave &amp; politic against me. Will never be treated fairly by these people - a total double standard of “justice.”"
Wed Dec 19 14:56:11 +0000 2018,"...sleazebag AG Eric Schneiderman\, who has since resigned over horrific women abuse\, when I wanted to close the Foundation so as not to be in conflict with politics. Shady Eric was head of New Yorkers for Clinton\, and refused to even look at the corrupt Clinton Foundation......"
Wed Dec 19 14:44:42 +0000 2018,"The Trump Foundation has done great work and given away lots of money\, both mine and others\, to great charities over the years - with me taking NO fees\, rent\, salaries etc. Now\, as usual\, I am getting slammed by Cuomo and the Dems in a long running civil lawsuit started by....."
Wed Dec 19 14:29:49 +0000 2018,"We have defeated ISIS in Syria\, my only reason for being there during the Trump Presidency."
Wed Dec 19 13:43:10 +0000 2018,"Mexico is paying (indirectly) for the Wall through the new USMCA\, the replacement for NAFTA! Far more money coming to the U.S. Because of the tremendous dangers at the Border\, including large scale criminal and drug inflow\, the United States Military will build the Wall!"
Wed Dec 19 12:35:04 +0000 2018,"In our Country\, so much money has been poured down the drain\, for so many years\, but when it comes to Border Security and the Military\, the Democrats fight to the death. We won on the Military\, which is being completely rebuilt. One way or the other\, we will win on the Wall!"
Wed Dec 19 12:28:47 +0000 2018,"In our Country\, so much money has been poured down the drain\, for so many years\, but the Democrats fight us like cats and dogs when it comes to spending on Boarder Security (including a Wall) and the Military. We won on the Military\, it is being completely rebuilt. We will win..."
Wed Dec 19 02:07:02 +0000 2018,"....This will keep our communities safer\, and provide hope and a second chance\, to those who earn it. In addition to everything else\, billions of dollars will be saved. I look forward to signing this into law!"
Wed Dec 19 02:07:01 +0000 2018,"America is the greatest Country in the world and my job is to fight for ALL citizens\, even those who have made mistakes. Congratulations to the Senate on the bi-partisan passing of a historic Criminal Justice Reform Bill...."
Wed Dec 19 01:13:30 +0000 2018,"....It will be beautiful and\, at the same time\, give our Country the security that our citizens deserve. It will go up fast and save us BILLIONS of dollars a month once completed!"
Wed Dec 19 01:13:30 +0000 2018,"The Democrats\, are saying loud and clear that they do not want to build a Concrete Wall - but we are not building a Concrete Wall\, we are building artistically designed steel slats\, so that you can easily see through it...."
Wed Dec 19 00:59:08 +0000 2018,Congratulations to @MarthaMcSally on her appointment by Governor @DougDucey as the Great new Senator from Arizona - I have no doubt she will do a fantastic job!
Tue Dec 18 22:42:37 +0000 2018,“President Donald J. Trump’s Commission on School Safety examined ways to make our schools safe for all students and teachers.” Read more: https://t.co/Sj3T2B3cKW https://t.co/M0iiESm2fJ
Tue Dec 18 16:53:27 +0000 2018,"RT @VP: Today\, @POTUS Trump will direct the @DeptofDefense to establish a Combatant Command that will oversee all of our military activitie…"
