created_at,favorite_count,id_str,in_reply_to_user_id_str,retweet_count,source,text,,,,
Thu Dec 27 20:39:59 +0000 2018,105345,1.07839E+18,NULL,24285,Twitter for iPhone,"“Border Patrol Agents want the Wall.” Democrat’s say they don’t want the Wall (even though they know it is really needed)\, and they don’t want ICE. They don’t have much to campaign on\, do they? An Open Southern Border and the large scale crime that comes with such stupidity!",,,,
Thu Dec 27 19:44:49 +0000 2018,82021,1.07838E+18,NULL,21143,Twitter for iPhone,"The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain\, thereby setting up a Supreme Court case. After ruling\, Dems dropped deal - and that’s where we are today\, Democrat obstruction of the needed Wall.",,,,
Thu Dec 27 19:41:45 +0000 2018,84827,1.07838E+18,NULL,20173,Twitter for iPhone,"The Democrats OBSTRUCTION of the desperately needed Wall\, where they almost all recently agreed it should be built\, is exceeded only by their OBSTRUCTION of 350 great people wanting &amp; expecting to come into Government after being delayed for more than two years\, a U.S. record!",,,,
Thu Dec 27 19:35:46 +0000 2018,8218,1.07837E+18,NULL,2339,Twitter for iPhone,"The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain\, thereby setting up a Supteme Court case. After ruling\, Dems dropped deal - and that’s where we are today\, Democrat obstruction of the needed Wall.",,,,
Thu Dec 27 12:06:25 +0000 2018,131898,1.07826E+18,NULL,30543,Twitter for iPhone,"Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Need to stop Drugs\, Human Trafficking\,Gang Members &amp; Criminals from coming into our Country. Do the Dems realize that most of the people not getting paid are Democrats?",,,,
Thu Dec 27 11:59:04 +0000 2018,169681,1.07826E+18,NULL,29624,Twitter for iPhone,"Just returned from visiting our troops in Iraq and Germany. One thing is certain\, we have incredible people representing our Country - people that know how to win!",,,,
Wed Dec 26 20:35:25 +0000 2018,222929,1.07803E+18,NULL,50449,Twitter for iPhone,.@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A.! https://t.co/rDlhITDvm1,,,,
Tue Dec 25 23:18:44 +0000 2018,249872,1.07771E+18,NULL,46597,Twitter for iPhone,"I hope everyone\, even the Fake News Media\, is having a great Christmas! Our Country is doing very well. We are securing our Borders\, making great new Trade Deals\, and bringing our Troops Back Home. We are finally putting America First. MERRY CHRISTMAS!  #MAGA",,,,
Tue Dec 25 12:59:08 +0000 2018,508372,1.07755E+18,NULL,89255,Twitter for iPhone,Merry Christmas!,,,,
Tue Dec 25 02:28:40 +0000 2018,0,1.07739E+18,NULL,24696,Twitter for iPhone,RT @FLOTUS: Helping children across the country track #Santa is becoming one of my favorite traditions!  @Potus and I enjoyed working with…,,,,
Mon Dec 24 22:24:13 +0000 2018,182064,1.07733E+18,NULL,41155,Twitter for iPhone,"I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We are already building and renovating many miles of Wall\, some complete. Democrats must end Shutdown and finish funding. Billions of Dollars\, &amp; lives\, will be saved!",,,,
Mon Dec 24 21:14:12 +0000 2018,88639,1.07731E+18,NULL,17567,Twitter for iPhone,Christmas Eve briefing with my team working on North Korea – Progress being made. Looking forward to my next summit with Chairman Kim! https://t.co/zPTtDbrP0o,,,,
Mon Dec 24 17:32:44 +0000 2018,181975,1.07726E+18,NULL,37861,Twitter for iPhone,I am all alone (poor me) in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security. At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about. Crazy!,,,,
Mon Dec 24 17:23:22 +0000 2018,156918,1.07725E+18,NULL,38834,Twitter for iPhone,"Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria\, instead of the United States. See? Isn’t it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country\, the U.S.\, that is 5000 miles away. Thanks to Saudi A!",,,,
Mon Dec 24 17:10:22 +0000 2018,101346,1.07725E+18,NULL,25414,Twitter for iPhone,"The Wall is different than the 25 Billion Dollars in Border Security. The complete Wall will be built with the Shutdown money plus funds already in hand. The reporting has been inaccurate on the point. The problem is\, without the Wall\, much of the rest of Dollars are wasted!",,,,
Mon Dec 24 16:55:32 +0000 2018,88352,1.07725E+18,NULL,19239,Twitter for iPhone,"I never “lashed out” at the Acting Attorney General of the U.S.\, a man for whom I have great respect. This is a made up story\, one of many\, by the Fake News Media!",,,,
Mon Dec 24 15:55:22 +0000 2018,125042,1.07723E+18,NULL,30509,Twitter for iPhone,"The only problem our economy has is the Fed. They don’t have a feel for the Market\, they don’t understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can’t score because he has no touch - he can’t putt!",,,,
Mon Dec 24 15:33:41 +0000 2018,156730,1.07723E+18,NULL,28409,Twitter for iPhone,AMERICA IS RESPECTED AGAIN!,,,,
Mon Dec 24 15:23:22 +0000 2018,99089,1.07722E+18,NULL,28640,Twitter for iPhone,"For all of the sympathizers out there of Brett McGurk remember\, he was the Obama appointee who was responsible for loading up airplanes with 1.8 Billion Dollars in CASH &amp;  sending it to Iran as part of the horrific Iran Nuclear Deal (now terminated) approved by Little Bob Corker.",,,,
Mon Dec 24 14:59:23 +0000 2018,107536,1.07722E+18,NULL,25119,Twitter for iPhone,"....We are substantially subsidizing the Militaries of many VERY rich countries all over the world\, while at the same time these countries take total advantage of the U.S.\, and our TAXPAYERS\, on Trade. General Mattis did not see this as a problem. I DO\, and it is being fixed!",,,,
Mon Dec 24 14:41:02 +0000 2018,98818,1.07721E+18,NULL,22190,Twitter for iPhone,"To those few Senators who think I don’t like or appreciate being allied with other countries\, they are wrong\, I DO. What I don’t like\, however\, is when many of these same countries take advantage of their friendship with the United States\, both in Military Protection and Trade...",,,,
