Date, Open, High, Low, Close
10/16/2018,276.6,280.82,276.07,280.4
10/15/2018,275.55,277.04,274.3,274.4
10/12/2018,276.77,277.09,272.37,275.95
10/11/2018,277.08,278.9,270.36,272.17
10/10/2018,286.83,286.91,277.88,278.3
10/9/2018,287.39,288.86,286.77,287.4
10/8/2018,287.05,288.22,285.5,287.82
10/5/2018,289.69,290.27,286.22,287.82
10/4/2018,291.18,291.24,287.66,289.44
10/3/2018,292.74,293.21,291.32,291.72
10/2/2018,291.56,292.355,291.14,291.56
10/1/2018,292.11,292.93,290.98,291.73
9/28/2018,289.99,291.28,289.95,290.72
9/27/2018,290.41,291.91,290.1,290.69
9/26/2018,290.91,292.24,289.41,289.88
9/25/2018,291.53,291.65,290.4833,290.75
9/24/2018,291.34,291.5,290.37,291.02
9/21/2018,293.09,293.22,291.81,291.99
9/20/2018,292.64,293.94,291.2363,293.58
9/19/2018,290.97,291.69,290.825,291.22
9/18/2018,289.58,291.58,289.55,290.91
9/17/2018,290.82,290.86,289.03,289.34
9/14/2018,291.06,291.27,290,290.88
9/13/2018,290.32,291.0384,289.995,290.83
9/12/2018,289.06,289.8,288.23,289.12
9/11/2018,287.37,289.55,286.975,289.05
9/10/2018,288.74,289.04,287.88,288.1
9/7/2018,286.98,288.7,286.71,287.6
9/6/2018,289.15,289.49,287,288.16
9/5/2018,289.41,289.64,287.89,289.03
9/4/2018,289.84,290.21,288.68,289.81
8/31/2018,289.84,290.81,289.29,290.31
8/30/2018,290.94,291.36,289.63,290.3
8/29/2018,290.16,291.74,289.8854,291.48
8/28/2018,290.3,290.4175,289.4,289.92
8/27/2018,288.86,289.9,288.68,289.78
8/24/2018,286.44,287.67,286.38,287.51
8/23/2018,285.97,286.94,285.43,285.79
8/22/2018,285.88,286.76,285.575,286.17
8/21/2018,286.25,287.31,285.7135,286.34
8/20/2018,285.57,285.97,285.06,285.67
8/17/2018,283.83,285.5601,283.37,285.06
8/16/2018,283.4,285.04,283.36,284.06
8/15/2018,282.38,282.54,280.16,281.78
8/14/2018,282.92,284.17,282.4833,283.9
8/13/2018,283.47,284.16,281.77,282.1
8/10/2018,283.45,284.055,282.36,283.16
8/9/2018,285.53,285.97,284.915,285.07
8/8/2018,285.39,285.91,284.94,285.46
8/7/2018,285.39,286.01,285.24,285.58
8/6/2018,283.64,284.99,283.2015,284.64
8/3/2018,282.53,283.6577,282.33,283.6
8/2/2018,279.39,282.58,279.16,282.39
8/1/2018,281.56,282.13,280.1315,280.86
7/31/2018,280.81,282.02,280.38,281.33
7/30/2018,281.51,281.69,279.36,279.95
7/27/2018,283.71,283.82,280.38,281.42
7/26/2018,283.2,284.11,283.09,283.34
7/25/2018,281.33,284.37,281.28,284.01
7/24/2018,281.79,282.56,280.63,281.61
7/23/2018,279.45,280.43,279.06,280.2
7/20/2018,279.77,280.48,279.5,279.68
7/19/2018,280.31,280.74,279.46,280
7/18/2018,280.56,281.18,280.06,281.06
7/17/2018,278.47,280.91,278.41,280.47
7/16/2018,279.64,279.803,278.84,279.34
7/13/2018,279.17,279.93,278.66,279.59
7/12/2018,278.28,279.43,277.6,279.37
7/11/2018,277.15,278.04,276.52,276.86
7/10/2018,278.41,279.01,278.08,278.9
7/9/2018,276.55,277.96,276.5,277.9
7/6/2018,273.14,275.84,272.715,275.42
7/5/2018,272.17,273.18,270.96,273.11
7/3/2018,272.87,272.98,270.42,270.9
7/2/2018,269.51,272.04,269.24,271.86
6/29/2018,272.12,273.66,271.1495,271.28
6/28/2018,269.29,271.75,268.49,270.89
6/27/2018,272.26,273.865,269.18,269.35
6/26/2018,271.64,272.56,270.79,271.6
6/25/2018,273.44,273.6162,269.1,271
6/22/2018,275.66,275.785,274.49,274.74
6/21/2018,275.96,275.98,273.68,274.24
6/20/2018,276.27,276.72,275.59,275.97
6/19/2018,274,275.75,273.53,275.5
6/18/2018,275.49,276.7,274.95,276.56
6/15/2018,276.6,277.51,275.35,277.13
6/14/2018,279.01,279.33,278.0599,278.73
6/13/2018,279.19,279.48,277.8,278.03
6/12/2018,279.03,279.33,278.19,278.92
6/11/2018,278.44,279.37,278.31,278.56
6/8/2018,276.85,278.25,276.66,278.19
6/7/2018,277.95,278.28,276.34,277.37
6/6/2018,275.79,277.52,275.09,277.4
6/5/2018,275.05,275.53,274.18,275.1
6/4/2018,274.53,275.185,274.26,274.9
6/1/2018,272.41,273.94,272.33,273.6
5/31/2018,272.15,272.49,270.255,270.94
5/30/2018,270.5,273.11,270.42,272.61
5/29/2018,270.31,271.17,267.76,269.02
5/25/2018,272.15,272.86,271.58,272.15
5/24/2018,272.91,273.22,270.78,272.8
5/23/2018,271.17,273.39,270.99,273.36
5/22/2018,273.96,274.25,272.24,272.61
5/21/2018,273.01,273.98,271.3512,273.37
5/18/2018,271.62,272.03,270.93,271.33
5/17/2018,271.94,273.23,271.13,272.01
